Operasi,Volume File (MB),Jumlah client worker pool,Client executor type,Server executor type,Jumlah server worker pool,Waktu total per client (s),Throughput per client (MB/s),Jumlah worker client sukses,Jumlah worker client gagal
GET,10,1,thread,process,1,0.13,79.36,1,0
GET,10,1,process,process,1,0.01,811.07,1,0
GET,10,5,thread,process,1,0.03,322.97,5,0
GET,10,5,process,process,1,0.03,399.3,5,0
GET,10,50,thread,process,1,0.23,61.98,49,1
GET,10,50,process,process,1,0.21,65.36,50,0
GET,50,1,thread,process,1,0.17,301.73,1,0
GET,50,1,process,process,1,0.06,880.7,1,0
GET,50,5,thread,process,1,0.09,697.56,5,0
GET,50,5,process,process,1,0.1,596.37,5,0
GET,50,50,thread,process,1,1.11,108.19,50,0
GET,50,50,process,process,1,0.87,84.28,50,0
GET,100,1,thread,process,1,0.36,275.3,1,0
GET,100,1,process,process,1,0.07,1378.93,1,0
GET,100,5,thread,process,1,0.26,499.73,5,0
GET,100,5,process,process,1,0.23,622.43,5,0
GET,100,50,thread,process,1,2.18,120.26,50,0
GET,100,50,process,process,1,2.04,72.31,50,0
UPLOAD,10,1,thread,process,1,0.12,84.95,1,0
UPLOAD,10,1,process,process,1,0.11,93.33,1,0
UPLOAD,10,5,thread,process,1,0.38,27.93,5,0
UPLOAD,10,5,process,process,1,0.25,47.15,5,0
UPLOAD,10,50,thread,process,1,3.37,3.11,50,0
UPLOAD,10,50,process,process,1,2.06,6.79,50,0
UPLOAD,50,1,thread,process,1,0.83,60.0,1,0
UPLOAD,50,1,process,process,1,0.8,62.51,1,0
UPLOAD,50,5,thread,process,1,2.89,19.71,5,0
UPLOAD,50,5,process,process,1,2.25,28.9,5,0
UPLOAD,50,50,thread,process,1,29.02,2.11,50,0
UPLOAD,50,50,process,process,1,18.64,4.37,50,0
UPLOAD,100,1,thread,process,1,2.54,39.39,1,0
UPLOAD,100,1,process,process,1,2.52,39.68,1,0
UPLOAD,100,5,thread,process,1,9.9,12.44,5,0
UPLOAD,100,5,process,process,1,9.04,14.3,5,0
UPLOAD,100,50,thread,process,1,76.11,1.67,50,0
UPLOAD,100,50,process,process,1,61.04,2.72,50,0
GET,10,1,thread,process,5,0.11,87.33,1,0
GET,10,1,process,process,5,0.04,277.95,1,0
