Operasi,Volume File (MB),Jumlah client worker pool,Client executor type,Server executor type,Jumlah server worker pool,Waktu total per client (s),Throughput per client (MB/s),Jumlah worker client sukses,Jumlah worker client gagal
GET,10,1,thread,process,50,0.12,81.07,1,0
GET,10,1,process,process,50,0.02,490.59,1,0
GET,10,5,thread,process,50,0.05,250.99,5,0
GET,10,5,process,process,50,0.02,425.04,5,0
GET,10,50,thread,process,50,0.20,62.69,49,1
GET,10,50,process,process,50,0.07,154.87,50,0
GET,50,1,thread,process,50,0.17,291.09,1,0
GET,50,1,process,process,50,0.03,1842.92,1,0
GET,50,5,thread,process,50,0.14,348.93,5,0
GET,50,5,process,process,50,0.06,813.26,5,0
GET,50,50,thread,process,50,1.05,54.26,43,7
GET,50,50,process,process,50,0.27,202.48,50,0
GET,100,1,thread,process,50,0.36,275.41,1,0
GET,100,1,process,process,50,0.08,1259.95,1,0
GET,100,5,thread,process,50,0.25,404.04,5,0
GET,100,5,process,process,50,0.17,630.68,5,0
GET,100,50,thread,process,50,2.44,41.10,39,11
GET,100,50,process,process,50,0.63,178.32,50,0
UPLOAD,10,1,thread,process,50,0.11,90.71,1,0
UPLOAD,10,1,process,process,50,0.10,100.48,1,0
UPLOAD,10,5,thread,process,50,0.29,34.58,5,0
UPLOAD,10,5,process,process,50,0.16,61.58,5,0
UPLOAD,10,50,thread,process,50,2.87,3.58,50,0
UPLOAD,10,50,process,process,50,0.55,19.20,50,0
UPLOAD,50,1,thread,process,50,0.81,61.35,1,0
UPLOAD,50,1,process,process,50,0.83,60.40,1,0
UPLOAD,50,5,thread,process,50,2.16,23.17,5,0
UPLOAD,50,5,process,process,50,1.49,33.49,5,0
UPLOAD,50,50,thread,process,50,24.52,2.07,50,0
UPLOAD,50,50,process,process,50,9.98,5.16,50,0
UPLOAD,100,1,thread,process,50,2.59,38.64,1,0
UPLOAD,100,1,process,process,50,2.53,39.49,1,0
UPLOAD,100,5,thread,process,50,6.54,15.29,5,0
UPLOAD,100,5,process,process,50,5.23,19.13,5,0
UPLOAD,100,50,thread,process,50,63.43,2.13,30,20
UPLOAD,100,50,process,process,50,86.61,1.15,50,0
