Operasi,Volume File (MB),Jumlah client worker pool,Client executor type,Server executor type,Jumlah server worker pool,Waktu total per client (s),Throughput per client (MB/s),Jumlah worker client sukses,Jumlah worker client gagal
GET,10,1,thread,thread,50,0.05,192.69,1,0
GET,10,1,process,thread,50,0.01,1055.86,1,0
GET,10,5,thread,thread,50,0.02,499.49,5,0
GET,10,5,process,thread,50,0.02,643.52,5,0
GET,10,50,thread,thread,50,0.20,52.42,50,0
GET,10,50,process,thread,50,0.05,238.48,50,0
GET,50,1,thread,thread,50,0.05,1081.19,1,0
GET,50,1,process,thread,50,0.03,1609.65,1,0
GET,50,5,thread,thread,50,0.11,496.87,5,0
GET,50,5,process,thread,50,0.07,765.06,5,0
GET,50,50,thread,thread,50,1.13,44.68,50,0
GET,50,50,process,thread,50,0.30,201.24,49,1
GET,100,1,thread,thread,50,0.37,271.90,1,0
GET,100,1,process,thread,50,0.06,1635.90,1,0
GET,100,5,thread,thread,50,0.18,576.64,5,0
GET,100,5,process,thread,50,0.15,670.66,5,0
GET,100,50,thread,thread,50,3.27,30.73,50,0
GET,100,50,process,thread,50,7.48,95.27,50,0
UPLOAD,10,1,thread,thread,50,0.13,78.27,1,0
UPLOAD,10,1,process,thread,50,0.11,92.56,1,0
UPLOAD,10,5,thread,thread,50,0.43,23.56,5,0
UPLOAD,10,5,process,thread,50,0.32,31.57,5,0
UPLOAD,10,50,thread,thread,50,4.57,2.19,50,0
UPLOAD,10,50,process,thread,50,1.97,6.02,50,0
UPLOAD,50,1,thread,thread,50,0.80,62.24,1,0
UPLOAD,50,1,process,thread,50,0.81,61.47,1,0
UPLOAD,50,5,thread,thread,50,3.91,12.79,5,0
UPLOAD,50,5,process,thread,50,3.19,15.70,5,0
UPLOAD,50,50,thread,thread,50,38.32,1.34,50,0
UPLOAD,50,50,process,thread,50,22.84,2.44,50,0
UPLOAD,100,1,thread,thread,50,2.60,38.42,1,0
UPLOAD,100,1,process,thread,50,2.50,40.02,1,0
UPLOAD,100,5,thread,thread,50,11.94,8.39,5,0
UPLOAD,100,5,process,thread,50,11.47,8.83,5,0
UPLOAD,100,50,thread,thread,50,127.10,0.80,50,0
UPLOAD,100,50,process,thread,50,108.56,0.96,50,0
